"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
25,4595,20.41,-0.1,Joe DELOACH,05 JUN 1967,USA,2,Villeneuve d'Ascq (FRA),25 JUN 1989,1156
26,4595,20.41,-1.5,Stefano TILLI,22 AUG 1962,ITA,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",27 JUN 1989,1165
27,4595,20.41,1.9,Stefano TILLI,22 AUG 1962,ITA,4,"Estadio Olímpico, Barcelona (ESP)",10 SEP 1989,1156
28,4595,20.41,-1.2,Frank FREDERICKS,02 OCT 1967,NAM,1,Stockholm (SWE),03 JUL 1991,1163
29,4595,20.41,0.1,Frank FREDERICKS,02 OCT 1967,NAM,1qf2,"National Stadium, Tokyo (JPN)",26 AUG 1991,1156
30,4595,20.41,0.8,Devlon DUNN,01 APR 1967,USA,2,"Walnut, CA (USA)",18 APR 1992,1156
31,4595,20.41,1.0,Marcus ADAM,28 FEB 1968,GBR,2,Dijon (FRA),13 JUN 1992,1156
32,4595,20.41,0.0,Linford CHRISTIE,02 APR 1960,GBR,5f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,1156
33,4595,20.41,0.5,Michael BATES,19 DEC 1969,USA,3,Rieti (ITA),06 SEP 1992,1156
34,4595,20.41,2.0,Tim WILLIAMS,27 MAY 1963,USA,3h4,"Eugene, OR (USA)",17 JUN 1993,1156
35,4595,20.41,0.0,Michael JOHNSON,13 SEP 1967,USA,3,London (GBR),10 SEP 1993,1156
36,4595,20.41,,Jeff WILLIAMS,31 DEC 1965,USA,1,Edinburgh (GBR),08 JUL 1994,1156
37,4595,20.41,-1.7,Talal MANSOUR,08 MAY 1964,QAT,1,Hiroshima (JPN),15 OCT 1994,1166
38,4595,20.41,0.9,Frank FREDERICKS,02 OCT 1967,NAM,1,Paris-St-Denis (FRA),01 JUN 1995,1156
39,4595,20.41,0.1,Patrick STEVENS,31 JAN 1968,BEL,2qf1,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1156
40,4595,20.41,-0.2,Kevin WIDMER,23 SEP 1970,SUI,1,La Chaux-de-Fonds (SUI),20 AUG 1995,1157
41,4595,20.41,-0.3,Jeff WILLIAMS,31 DEC 1965,USA,5,"Stade Louis II, Monaco (MON)",09 SEP 1995,1157
42,4595,20.41,1.2,Alvin HARRISON,20 JAN 1974,USA,3,"Fresno, CA (USA)",13 APR 1996,1156
43,4595,20.41,-0.2,Jon DRUMMOND,09 SEP 1968,USA,1,"Los Angeles, CA (USA)",11 MAY 1996,1157
44,4595,20.41,1.3,Sergejs INŠAKOVS,27 DEC 1971,LAT,2h1,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,1156
45,4595,20.41,1.3,Troy DOUGLAS,30 NOV 1962,BER,3h1,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,1156
46,4595,20.41,-0.2,Geir MOEN,26 JUN 1969,NOR,1,Monaco (MON),10 AUG 1996,1157
47,4595,20.41,-0.2,Anthuan MAYBANK,30 DEC 1969,USA,2,Monaco (MON),10 AUG 1996,1157
48,4595,20.41,0.5,Geir MOEN,26 JUN 1969,NOR,4,Berlin (GER),30 AUG 1996,1156
49,4595,20.41,0.0,Bryan BRONSON,09 SEP 1972,USA,2,"El Paso, TX (USA)",12 APR 1997,1156
50,4595,20.41,0.5,Claudinei Quirino DA SILVA,19 NOV 1970,BRA,2,Santiago de Chile (CHI),13 APR 1997,1156
51,4595,20.41,-1.2,Alvis WHITTED,04 SEP 1974,USA,2,"Atlanta, GA (USA)",18 APR 1997,1163
52,4595,20.41,1.6,Gentry BRADLEY,19 JAN 1974,USA,4f1,Stockholm (SWE),07 JUL 1997,1156
53,4595,20.41,0.5,Geir MOEN,26 JUN 1969,NOR,1,Nice (FRA),16 JUL 1997,1156
54,4595,20.41,1.2,Ivan GARCÍA,29 FEB 1972,CUB,1h9,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1156
55,4595,20.41,0.0,Marcus LA GRANGE,12 DEC 1977,RSA,1,Johannesburg (RSA),27 MAR 1998,1156
56,4595,20.41,-1.5,Jerome YOUNG,14 AUG 1976,USA,1,"Edwardsville, IL (USA)",23 MAY 1998,1165
57,4595,20.41,0.9,Byron LOGAN,19 JUL 1974,JAM,1,"Gainesville, FL (USA)",24 MAY 1998,1156
58,4595,20.41,0.6,Christophe CHEVAL,25 FEB 1971,FRA,1,Dijon (FRA),05 JUL 1998,1156
59,4595,20.41,1.6,Tony MCCALL,16 JUN 1974,USA,1,Formia (ITA),12 JUL 1998,1156
60,4595,20.41,1.9,Georgios PANAGIOTOPOULOS,12 AUG 1969,GRE,2,Athina (GRE),19 JUL 1998,1156
61,4595,20.41,0.6,Koji ITO,29 JAN 1970,JPN,sf,Bangkok (THA),17 DEC 1998,1156
62,4595,20.41,-1.6,Michael JOHNSON,13 SEP 1967,USA,1,Cape Town (RSA),26 MAR 1999,1165
63,4595,20.41,0.8,Shawn CRAWFORD,14 JAN 1978,USA,1,"Clemson, SC (USA)",03 APR 1999,1156
64,4595,20.41,2.0,Koji ITO,29 JAN 1970,JPN,3,"Edwardsville, IL (USA)",22 MAY 1999,1156
65,4595,20.41,0.7,Claudinei Quirino DA SILVA,19 NOV 1970,BRA,2,Oslo (NOR),30 JUN 1999,1156
66,4595,20.41,0.6,Stéphan BUCKLAND,12 JAN 1977,MRI,4,Ciudad de México (MEX),02 JUL 2000,1156
67,4595,20.41,-0.2,Patrick STEVENS,31 JAN 1968,BEL,2,Hechtel (BEL),05 AUG 2000,1157
68,4595,20.41,0.4,Shawn CRAWFORD,14 JAN 1978,USA,3,Pretoria (RSA),23 MAR 2001,1156
69,4595,20.41,1.7,Darren CAMPBELL,12 SEP 1973,GBR,1,"Austin, TX (USA)",04 MAY 2001,1156
70,4595,20.41,,Darrel BROWN,11 OCT 1984,TTO,1,Port-of-Spain (TTO),06 MAY 2001,1156
71,4595,20.41,0.7,Francis OBIKWELU,22 NOV 1978,NGR,2,Nice (FRA),09 JUL 2001,1156
72,4595,20.41,0.5,Kim COLLINS,05 APR 1976,SKN,2h7,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1156
73,4595,20.41,0.5,Marcin URBAŚ,17 SEP 1976,POL,3h7,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1156
74,4595,20.41,,Jeremy WARINER,31 JAN 1984,USA,1,"Lubbock, TX (USA)",27 APR 2002,1156
75,4595,20.41,1.5,Pierre BROWNE,14 JAN 1980,CAN,3,"Starkville, MS (USA)",12 MAY 2002,1156
76,4595,20.41,0.5,Christopher LAMBERT,06 APR 1981,GBR,2,Manchester (GBR),16 JUN 2002,1156
77,4595,20.41,-0.8,Marlon DEVONISH,01 JUN 1976,GBR,2qf2,"Olympiastadion, München (GER)",08 AUG 2002,1160
78,4595,20.41,1.7,Tobias UNGER,10 JUL 1979,GER,1,Oberkirch (GER),01 JUN 2003,1156
79,4595,20.41,1.5,Francis OBIKWELU,22 NOV 1978,POR,1,Velenje (SLO),22 JUN 2003,1156
80,4595,20.41,0.1,Stéphan BUCKLAND,12 JAN 1977,MRI,5,"Stade de France, Paris-St-Denis (FRA)",29 AUG 2003,1156
81,4595,20.41,0.2,Fawzi Dahash AL SHAMMARI,13 FEB 1979,KUW,1,Amman (JOR),09 SEP 2003,1156
82,4595,20.41,0.6,Aziz ZAKARI,02 SEP 1976,GHA,3sf3,Abuja (NGR),14 OCT 2003,1156
83,4595,20.41,-1.7,Julian GOLDING,17 FEB 1975,GBR,2,Santo Domingo (DOM),01 MAY 2004,1166
84,4595,20.41,1.4,Kyle FARMER,15 APR 1983,USA,3,"Gainesville, FL (USA)",29 MAY 2004,1156
85,4595,20.41,-0.3,Joshua J. JOHNSON,10 MAY 1976,USA,1h4,"Sacramento, CA (USA)",16 JUL 2004,1157
86,4595,20.41,-0.5,Dwight THOMAS,23 SEP 1980,JAM,2,Rieti (ITA),05 SEP 2004,1159
87,4595,20.41,0.7,Stéphan BUCKLAND,12 JAN 1977,MRI,3,"Stade Louis II, Monaco (MON)",19 SEP 2004,1156
88,4595,20.41,1.7,Walter DIX,31 JAN 1986,USA,1,"Tallahassee, FL (USA)",23 APR 2005,1156
89,4595,20.41,-0.1,Walter DIX,31 JAN 1986,USA,1h,"New York, NY (USA)",27 MAY 2005,1156
90,4595,20.41,0.4,Ronald POGNON,16 NOV 1982,FRA,1sf2,Angers (FRA),16 JUL 2005,1156
91,4595,20.41,1.8,Marlon DEVONISH,01 JUN 1976,GBR,5,"Crystal Palace, London (GBR)",22 JUL 2005,1156
92,4595,20.41,-0.5,Stéphan BUCKLAND,12 JAN 1977,MRI,5,"Olympiastadion, Helsinki (FIN)",11 AUG 2005,1159
93,4595,20.41,-0.3,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,2,Stockholm (SWE),07 AUG 2007,1157
94,4595,20.41,-0.3,Bryan BARNETT,10 FEB 1987,CAN,4qf2,"Yanmar Stadium Nagai, Osaka (JPN)",28 AUG 2007,1157
95,4595,20.41,0.6,Rubin WILLIAMS,09 JUL 1983,USA,2,"Auburn, AL (USA)",18 MAY 2008,1156
96,4595,20.41,1.2,Wallace SPEARMON,24 DEC 1984,USA,2,"International Stadium, Gateshead (GBR)",31 AUG 2008,1156
97,4595,20.41,0.5,Trey HARTS,17 OCT 1987,USA,1h5,"Norman, OK (USA)",29 MAY 2009,1156
98,4595,20.41,1.7,Thomas HUNTER,14 DEC 1983,USA,1f1,"Walnut, CA (USA)",06 JUN 2009,1156
99,4595,20.41,1.0,Robert HERING,14 JUN 1990,GER,1,Ulm (GER),05 JUL 2009,1156
0,4595,20.41,-0.9,LaShawn MERRITT,27 JUN 1986,USA,2f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 2009,1161
1,4595,20.41,-1.0,Steve MULLINGS,29 NOV 1982,JAM,3f1,Barcelona (ESP),25 JUL 2009,1162
2,4595,20.41,0.0,Usain BOLT,21 AUG 1986,JAM,1qf1,"Olympiastadion, Berlin (GER)",18 AUG 2009,1156
3,4595,20.41,-0.4,Nilson Andre DE OLIVEIRA,30 JAN 1986,BRA,1f2,Rio de Janeiro (BRA),23 MAY 2010,1158
4,4595,20.41,0.1,Rakieem SALAAM,05 APR 1990,USA,1h6,"Austin, TX (USA)",28 MAY 2010,1156
5,4595,20.41,1.1,Kirani JAMES,01 SEP 1992,GRN,1f1,"El Paso, TX (USA)",16 APR 2011,1156
6,4595,20.41,0.8,Michael MASON,26 APR 1987,JAM,1f1,Kingston (JAM),21 MAY 2011,1156
7,4595,20.41,0.7,Nickel ASHMEADE,07 APR 1990,JAM,1sf2,Kingston (JAM),25 JUN 2011,1156
8,4595,20.41,-0.4,Femi OGUNODE,15 MAY 1991,QAT,1,Kobe (JPN),10 JUL 2011,1158
9,4595,20.41,0.2,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,2,"Stadio Guidobaldi, Rieti (ITA)",10 SEP 2011,1156
10,4595,20.41,0.7,Rondel SORRILLO,24 JAN 1986,TTO,5,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1156
11,4595,20.41,-0.3,Marvin ANDERSON,12 MAY 1982,JAM,2,"Mestský Stadion, Ostrava (CZE)",25 MAY 2012,1157
12,4595,20.41,-0.5,Ryota YAMAGATA,10 JUN 1992,JPN,1f1,Yokohama (JPN),26 MAY 2013,1159
13,4595,20.41,-0.5,Yoshihide KIRYU,15 DEC 1995,JPN,1,Nara (JPN),15 JUN 2013,1159
14,4595,20.41,-0.3,Karol ZALEWSKI,07 AUG 1993,POL,1,"Ratinan Stadion, Tampere (FIN)",13 JUL 2013,1157
15,4595,20.41,0.5,Akani SIMBINE,21 SEP 1993,RSA,1sf1,Pretoria (RSA),11 APR 2014,1156
16,4595,20.41,1.9,Ncincilili TITI,15 DEC 1993,RSA,1sf2,Pretoria (RSA),11 APR 2014,1156
17,4595,20.41,0.7,Ncincilili TITI,15 DEC 1993,RSA,1,Pretoria (RSA),12 APR 2014,1156
18,4595,20.41,1.3,Brendon RODNEY,09 APR 1992,CAN,1,"Moon Township, PA (USA)",04 MAY 2014,1156
19,4595,20.41,-0.5,Dedric DUKES,04 FEB 1992,USA,3,"Lexington, KY (USA)",18 MAY 2014,1159
20,4595,20.41,0.0,Shota HARA,18 JUL 1992,JPN,1f2,Yokohama (JPN),25 MAY 2014,1156
21,4595,20.41,0.6,Edino STEELE,01 JUN 1987,JAM,1f13,Kingston (JAM),31 MAY 2014,1156
22,4595,20.41,-0.2,Trentavis FRIDAY,05 JUN 1995,USA,1,"Greensboro, NC (USA)",15 JUN 2014,1157
23,4595,20.41,-2.2,Renny QUOW,25 AUG 1987,TTO,2f2,Port-of-Spain (TTO),22 JUN 2014,1169
24,4595,20.41,0.1,Warren WEIR,31 OCT 1989,JAM,1sf3,Kingston (JAM),28 JUN 2014,1156
25,4595,20.41,1.3,Sean MCLEAN,23 MAR 1992,USA,4,"Sacramento, CA (USA)",29 JUN 2014,1156
26,4595,20.41,0.0,Sean MCLEAN,23 MAR 1992,USA,1,Linz (AUT),14 JUL 2014,1156
27,4595,20.41,-0.6,José Carlos HERRERA,05 FEB 1986,MEX,1h3,Ciudad de México (MEX),16 AUG 2014,1159
28,4595,20.41,0.9,Julian FORTE,07 JAN 1993,JAM,5,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1156
29,4595,20.41,1.7,Aaron ERNEST,08 NOV 1993,USA,3h2,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1156
30,4595,20.41,-2.5,Wilfried KOFFI HUA,12 OCT 1987,CIV,1,"Main Stadium, Gwangju (KOR)",10 JUL 2015,1171
31,4595,20.41,1.0,Miguel FRANCIS,28 MAR 1995,ANT,2f2,Edmonton (CAN),12 JUL 2015,1156
32,4595,20.41,1.6,Bruno DE BARROS,07 JAN 1987,BRA,2h2,"CIBC, Toronto (CAN)",23 JUL 2015,1156
33,4595,20.41,0.5,José Carlos HERRERA,05 FEB 1986,MEX,3f2,"Tempe, AZ (USA)",09 APR 2016,1156
34,4595,20.41,0.0,Dedric DUKES,04 FEB 1992,USA,2f1,"Clermont, FL (USA)",14 MAY 2016,1156
35,4595,20.41,2.0,Julian REUS,29 APR 1988,GER,1f2,"Clermont, FL (USA)",14 MAY 2016,1156
36,4595,20.41,0.5,Renard HOWELL,03 MAR 1995,USA,1h3,"Jacksonville, FL (USA)",27 MAY 2016,1156
37,4595,20.41,1.2,Antoine ADAMS,31 AUG 1988,SKN,4,Kingston (JAM),11 JUN 2016,1156
38,4595,20.41,-0.1,Shota IIZUKA,25 JUN 1991,JPN,1h1,Nagoya (JPN),24 JUN 2016,1156
39,4595,20.41,0.4,Dedric DUKES,04 FEB 1992,USA,3sf2,"Hayward Field, Eugene, OR (USA)",08 JUL 2016,1156
40,4595,20.41,0.8,Reynier MENA,21 NOV 1996,CUB,1,San Salvador (ESA),17 JUL 2016,1156
41,4595,20.41,0.9,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,1f1,"Azusa, CA (USA)",14 APR 2017,1156
42,4595,20.41,-0.4,Aaron BROWN,27 MAY 1992,CAN,6,"Shanghai Stadium, Shanghai (CHN)",13 MAY 2017,1158
43,4595,20.41,-1.5,Wilfried KOFFI HUA,12 OCT 1987,CIV,1f1,"Claremont, CA (USA)",03 JUN 2017,1165
44,4595,20.41,1.8,Mark Otieno ODHIAMBO,11 MAY 1993,KEN,1,Nairobi (KEN),10 JUN 2017,1156
45,4595,20.41,1.3,Clarence MUNYAI,20 FEB 1998,RSA,1f1,Bilbao (ESP),24 JUN 2017,1156
46,4595,20.41,0.1,Winston GEORGE,19 MAY 1987,GUY,1,"Leonora Stadium, Leonora (GUY)",15 JUL 2017,1156
47,4595,20.41,-0.6,Kyree KING,09 JUL 1994,USA,2h2,"Olympic Stadium, London (GBR)",07 AUG 2017,1159
48,4595,20.41,-0.1,Isaac MAKWALA,24 SEP 1985,BOT,4,"Alexander Stadium, Birmingham (GBR)",20 AUG 2017,1156
49,4595,20.41,1.8,Thando DLODLO,22 APR 1999,RSA,2,Pretoria (RSA),17 MAR 2018,1156
50,4595,20.41,0.6,Fred KERLEY,07 MAY 1995,USA,1f1,"Tempe, AZ (USA)",17 MAR 2018,1156
51,4595,20.41,0.9,Terrance LAIRD,12 OCT 1998,USA,2f1,"Gainesville, FL (USA)",30 MAR 2018,1156
52,4595,20.41,0.3,Jereem RICHARDS,13 JAN 1994,TTO,1sf3,Gold Coast (AUS),11 APR 2018,1156
53,4595,20.41,1.2,Dedric DUKES,04 FEB 1992,USA,1f1,"Houston, TX (USA)",04 MAY 2018,1156
54,4595,20.41,1.8,Amir JAMES,07 DEC 1995,USA,2h4,"Tampa, FL (USA)",25 MAY 2018,1156
55,4595,20.41,0.0,Stuart DUTAMBY,24 APR 1994,FRA,2f1,Genève (SUI),09 JUN 2018,1156
56,4595,20.41,0.9,Ameer WEBB,19 MAR 1991,USA,4,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1156
57,4595,20.41,0.9,Rasheed DWYER,29 JAN 1989,JAM,4,Barranquilla (COL),01 AUG 2018,1156
58,4595,20.41,0.3,Solomon BOCKARIE,18 MAY 1987,NED,3sf3,"Olympiastadion, Berlin (GER)",08 AUG 2018,1156
59,4595,20.41,2.0,Bryce ROBINSON,13 NOV 1993,USA,2f1,"Columbia, SC (USA)",13 APR 2019,1156
60,4595,20.41,1.8,Antonio INFANTINO,22 MAR 1991,ITA,1,Lee Valley (GBR),22 MAY 2019,1156
61,4595,20.41,1.8,Aldemir JUNIOR,08 JUN 1992,BRA,1f5,Sao Bernardo do Campo (BRA),26 MAY 2019,1156
62,4595,20.41,0.3,Micaiah HARRIS,19 DEC 1998,USA,1h2,Queretaro (MEX),06 JUL 2019,1156
63,4595,20.41,2.0,Femi OGUNODE,15 MAY 1991,QAT,2f1,Kortrijk (BEL),13 JUL 2019,1156
64,4595,20.41,-1.0,Jamiel TRIMBLE,25 JUN 1995,USA,3sf1,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1162
65,4595,20.41,-0.1,Alex QUIÑÓNEZ,11 AUG 1989,ECU,1h1,Lima (PER),08 AUG 2019,1156
66,4595,20.41,0.2,Andre EWERS,07 JUN 1995,JAM,4h7,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,1156
67,4595,20.41,1.0,Josephus LYLES,22 JUL 1998,USA,2f1,"Montverde Academy, Montverde, FL (USA)",04 JUL 2020,1156
68,4595,20.41,1.2,Aldemir JUNIOR,08 JUN 1992,BRA,2,"COTP Stadium, São Paulo (BRA)",13 DEC 2020,1156
69,4595,20.41,1.3,Davonte BURNETT,27 FEB 2000,USA,3sf1,"Hayward Field, Eugene, OR (USA)",09 JUN 2021,1156
70,4595,20.41,-0.2,Fred KERLEY,07 MAY 1995,USA,3h1,"Hayward Field, Eugene, OR (USA)",25 JUN 2021,1157
71,4595,20.41,1.6,Nigel ELLIS,08 AUG 1997,JAM,2sf1,"National Stadium, Kingston (JAM)",25 JUN 2021,1156
72,4595,20.41,0.9,LaShawn MERRITT,27 JUN 1986,USA,7sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1156
73,4595,20.41,-1.1,Adam GEMILI,06 OCT 1993,GBR,4f2,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1162
74,4595,20.41,2.0,Jevaughn MINZIE,20 JUL 1995,JAM,2,"Christian Brothers HS, Memphis, TN (USA)",15 AUG 2021,1156
75,4595,20.41,1.6,Eseosa Fostine DESALU,19 FEB 1994,ITA,7,"Stade Charléty, Paris (FRA)",28 AUG 2021,1156
76,4595,20.41,-1.3,Aidan MURPHY,14 OCT 2003,AUS,1,"SA Athletic Stadium, Adelaide (AUS)",20 FEB 2022,1163
77,4595,20.41,0.4,Jeremiah CURRY,07 JAN 2000,USA,1f1,"Walter P. Ledet Track Complex, Natchitoches, LA (USA)",23 APR 2022,1156
78,4595,20.41,0.2,Lucas RODRIGUES DA SILVA,05 JUL 2001,BRA,1,"COTP Stadium, São Paulo (BRA)",01 MAY 2022,1156
79,4595,20.41,-0.4,Wataru INUZUKA,08 JUL 1997,JPN,2f1,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2022,1158
80,4595,20.41,1.1,Puripol BOONSON,13 JAN 2006,THA,1h1,"My Dinh National Stadium, Hanoi (VIE)",14 MAY 2022,1156
81,4595,20.41,0.8,Kahleje TILLMON,,USA,1,"Morris Williams T&F Stadium, Durham, NC (USA)",14 MAY 2022,1156
82,4595,20.41,0.0,Kasaun JAMES,22 DEC 1997,USA,3,"Hayward Field, Eugene, OR (USA)",15 MAY 2022,1156
83,4595,20.41,2.0,Lawrence JOHNSON,1999,USA,2pr2,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2022,1156
84,4595,20.41,0.0,Jeremiah CURRY,07 JAN 2000,USA,4h3,"John McDonnell Field, Fayetteville, AR (USA)",27 MAY 2022,1156
85,4595,20.41,0.4,Lawrence JOHNSON,1999,USA,3sf2,"Hayward Field, Eugene, OR (USA)",08 JUN 2022,1156
86,4595,20.41,1.4,Robert GREGORY,12 DEC 2001,USA,3h3,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1156
87,4595,20.41,0.6,Owen ANSAH,28 NOV 2000,GER,1,"Olympiastadion, Berlin (GER)",26 JUN 2022,1156
88,4595,20.41,0.1,Joshua HARTMANN,09 JUN 1999,GER,1h1,"Olympiastadion, Berlin (GER)",26 JUN 2022,1156
89,4595,20.41,0.5,Nigel ELLIS,08 AUG 1997,JAM,2,"National Stadium, Kingston (JAM)",26 JUN 2022,1156
90,4595,20.41,-0.1,Méba Mickaël ZEZE,19 MAY 1994,FRA,1,"Stade Helitas, Caen (FRA)",26 JUN 2022,1156
91,4595,20.41,0.0,Alonso EDWARD,08 DEC 1989,PAN,1,Valledupar (COL),03 JUL 2022,1156
92,4595,20.41,0.3,Zhenye XIE,17 AUG 1993,CHN,5sf3,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1156
93,4595,20.41,0.7,Taymir BURNET,01 OCT 1992,NED,3f1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",24 AUG 2022,1156
94,4595,20.41,0.0,Emmanuel MATADI,15 APR 1991,LBR,1,"Lantos Mihály Sportközpont, Budapest (HUN)",02 SEP 2022,1156
95,4595,20.41,0.6,Shaun MASWANGANYI,01 FEB 2001,RSA,4f3,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1156
96,4595,20.41,-0.3,Andre DE GRASSE,10 NOV 1994,CAN,7f1,"National Stadium, Gaborone (BOT)",29 APR 2023,1157
97,4595,20.41,-0.2,Vernon NORWOOD,10 APR 1992,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 APR 2023,1157
98,4595,20.41,1.3,Christopher BALTHAZAR,,USA,1,"Franklin Field, Philadelphia, PA (USA)",07 MAY 2023,1156
99,4595,20.41,1.8,Dorian CAMEL,03 MAR 1999,USA,2h2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",11 MAY 2023,1156
0,4595,20.41,0.1,Wanya MCCOY,29 MAR 2003,BAH,2,"Paul Derr TF Facility, Raleigh, NC (USA)",13 MAY 2023,1156
1,4595,20.41,0.1,Amir WILLIS,09 SEP 2000,USA,3,"Paul Derr TF Facility, Raleigh, NC (USA)",13 MAY 2023,1156
2,4595,20.41,0.8,Michael JOSEPH,01 NOV 2002,LCA,2h2,"John Jacobs Track Complex, Norman, OK (USA)",13 MAY 2023,1156
3,4595,20.41,0.0,Filippo TORTU,15 JUN 1998,ITA,4,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1156
4,4805,20.42,1.8,Hans-Joachim ZENK,03 JUN 1952,GDR,1f2,Potsdam (GDR),13 JUN 1974,1155
5,4805,20.42,1.8,Silvio LEONARD,20 SEP 1955,CUB,2f2,Potsdam (GDR),13 JUN 1974,1155
6,4805,20.42,-0.9,Pietro MENNEA,28 JUN 1952,ITA,1,Nice (FRA),17 AUG 1975,1160
7,4805,20.42,0.5,James GILKES,21 SEP 1952,GUY,3,Zürich (SUI),20 AUG 1975,1155
8,4805,20.42,1.7,Mark LUTZ,23 DEC 1951,USA,3,"Eugene, OR (USA)",22 JUN 1976,1155
9,4805,20.42,0.0,Pietro MENNEA,28 JUN 1952,ITA,1,Siena (ITA),12 SEP 1976,1155
10,4805,20.42,0.9,Cliff WILEY,21 MAY 1955,USA,1sf2,"Champaign, IL (USA)",04 JUN 1977,1155
11,4805,20.42,-0.9,Steve WILLIAMS,13 NOV 1953,USA,2f1,Zürich (SUI),24 AUG 1977,1160
12,4805,20.42,,James GILKES,21 SEP 1952,GUY,1,Milano (ITA),01 JUL 1978,1155
13,4805,20.42,-1.9,Allan WELLS,03 MAY 1952,GBR,3f2,Zürich (SUI),15 AUG 1979,1166
14,4805,20.42,1.8,Ainsley BENNETT,22 JUL 1954,GBR,3,Ciudad de México (MEX),12 SEP 1979,1155
15,4805,20.42,,James MALLARD,29 NOV 1957,USA,1,"Auburn, AL (USA)",18 MAY 1980,1155
16,4805,20.42,1.8,Calvin SMITH,08 JAN 1961,USA,1,"Starkville, MS (USA)",17 APR 1982,1155
17,4805,20.42,-1.4,James BUTLER,21 JUN 1960,USA,1,"Indianapolis, IN (USA)",24 JUL 1982,1163
18,4805,20.42,0.6,Leandro PENALVER,23 MAY 1961,CUB,1,La Habana (CUB),11 AUG 1982,1155
19,4805,20.42,0.6,Innocent EGBUNIKE,30 NOV 1961,NGR,1,Edmonton (CAN),10 JUL 1983,1155
20,4805,20.42,-1.3,Elliott QUOW,03 MAR 1962,USA,1,Caracas (VEN),26 AUG 1983,1162
21,4805,20.42,0.7,Aleksandr YEVGENYEV,20 JUL 1961,URS,1,Sofia (BUL),20 MAY 1984,1155
22,4805,20.42,1.8,Pietro MENNEA,28 JUN 1952,ITA,1,Formia (ITA),30 JUN 1984,1155
23,4805,20.42,0.8,Harvey GLANCE,28 MAR 1957,USA,2,Bruxelles (BEL),24 AUG 1984,1155
24,4805,20.42,0.1,Darwin COOK,16 JUL 1962,USA,1h2,"Tucson, AZ (USA)",16 MAY 1985,1155
25,4805,20.42,0.2,Aleksandr YEVGENYEV,20 JUL 1961,URS,2,Moskva (URS),18 AUG 1985,1155
26,4805,20.42,-0.4,Kirk BAPTISTE,20 JUN 1963,USA,2,"Letzigrund, Zürich (SUI)",21 AUG 1985,1157
27,4805,20.42,-0.4,Frank EMMELMANN,15 SEP 1961,GDR,3,"Letzigrund, Zürich (SUI)",21 AUG 1985,1157
28,4805,20.42,1.8,Calvin SMITH,08 JAN 1961,USA,3h4,"Eugene, OR (USA)",19 JUN 1986,1155
29,4805,20.42,0.4,Floyd HEARD,24 MAR 1966,USA,4,San José (USA),26 JUN 1987,1155
30,4805,20.42,0.0,Gilles QUÉNÉHERVÉ,17 MAY 1966,FRA,2f1,Nice (FRA),13 JUL 1987,1155
31,4805,20.42,0.0,Danny EVERETT,01 NOV 1966,USA,1,Koblenz (GER),13 AUG 1987,1155
32,4805,20.42,0.0,Reggie MCCRAY,07 AUG 1966,USA,1,"Tallahassee, FL (USA)",28 MAY 1988,1155
33,4805,20.42,1.0,James BUTLER,21 JUN 1960,USA,6,"Indianapolis, IN (USA)",20 JUL 1988,1155
34,4805,20.42,-0.7,Albert ROBINSON,28 NOV 1964,USA,3sf1,"Indianapolis, IN (USA)",20 JUL 1988,1159
35,4805,20.42,-0.4,James BUTLER,21 JUN 1960,USA,1,Monaco (MON),02 AUG 1988,1157
36,4805,20.42,1.1,Michael MARSH,04 AUG 1967,USA,1,"Gainesville, FL (USA)",08 APR 1989,1155
